food_code,food_name,region,energy_kj,protein_g,fat_g,carbohydrates_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,zinc_mg,phosphorus_mg,potassium_mg,sodium_mg,vitamin_c_mg,folate_mcg
E018,"Dates, dry, dark brown",2,1301,2.38,0.35,72.67,9.1,66.13,4.79,75.23,0.58,70.26,782.0,3.09,3.84,12.8
E019,"Dates, processed",2,1197,1.18,0.41,67.95,6.52,15.73,0.89,14.34,0.42,33.88,289.0,1.6,15.51,24.53
E020,Fig,6,341,2.03,0.37,16.28,4.64,78.52,0.69,26.18,0.22,21.62,231.0,2.37,16.92,13.67
E021,Goosberry,5,99,0.34,0.16,4.39,7.75,20.14,1.25,6.5,0.05,21.85,223.0,1.37,252.0,7.86
E022,"Grapes, seeded, round, black",4,254,0.76,0.32,13.23,1.35,10.57,0.22,7.47,0.05,21.04,171.0,1.93,18.3,8.69
E023,"Grapes, seeded, round, green",5,235,0.77,0.29,12.19,1.25,11.16,0.24,6.87,0.05,19.5,166.0,1.89,17.1,8.35
E024,"Grapes, seeded, round, red",5,244,0.95,0.29,12.55,1.28,11.27,0.33,7.06,0.07,27.91,188.0,1.59,20.59,7.49
E025,"Grapes, seedless, oval, black",5,395,1.41,0.46,20.48,1.64,15.26,0.28,11.29,0.1,29.02,237.0,1.83,27.32,7.22
E026,"Grapes, seedless, round, green",5,224,0.62,0.26,11.81,1.28,14.22,0.24,8.43,0.05,20.27,168.0,1.81,16.47,8.31
E027,"Grapes, seedless, round, black",5,374,1.24,0.35,19.86,1.15,18.75,0.39,10.8,0.09,26.68,235.0,1.92,22.79,8.89
E028,"Guava, white flesh",5,135,1.44,0.32,5.13,8.59,18.52,0.32,15.26,0.23,23.54,283.0,2.87,214.0,29.76
E029,"Guava, pink flesh",5,195,1.19,0.25,9.14,7.39,14.22,0.4,13.26,0.21,29.93,270.0,1.89,222.0,32.17
E030,"Jack fruit, ripe",5,302,2.74,0.15,14.01,3.62,35.03,0.36,31.84,0.17,23.02,279.0,1.62,6.73,32.15
E031,"Jambu fruit, ripe",2,235,0.82,0.17,12.3,3.07,25.36,0.33,27.97,0.06,9.6,103.0,2.64,16.47,7.63
E032,Karonda fruit,1,141,1.15,1.67,2.87,7.25,10.81,0.87,24.45,0.25,32.62,351.0,2.55,135.0,8.72
E033,"Lemon, juice",6,153,0.41,0.75,0.0,0.0,22.68,0.12,8.9,0.08,9.86,113.0,1.21,48.16,12.43
E034,"Lime, sweet, pulp",6,114,0.76,0.2,5.18,2.07,25.79,0.11,15.4,0.05,20.55,182.0,1.17,46.96,15.38
E035,Litchi,4,225,0.99,0.26,11.41,1.34,5.77,0.79,14.58,0.24,23.32,161.0,0.54,33.82,15.69
E036,"Mango, ripe, banganapalli",6,175,0.54,0.55,8.18,1.88,15.77,0.51,13.35,0.12,11.07,144.0,1.34,32.97,82.05
E037,"Mango, ripe, gulabkhas",2,209,0.52,0.53,10.32,1.67,19.33,0.38,11.53,0.06,10.66,115.0,1.39,27.65,84.35
E038,"Mango, ripe, himsagar",3,187,0.46,0.54,9.03,1.55,15.54,0.29,12.07,0.12,12.25,137.0,1.31,49.09,90.98
E039,"Mango, ripe, kesar",4,231,0.54,0.57,11.36,2.02,15.74,0.43,12.53,0.1,12.36,143.0,1.43,29.08,90.43
E040,"Mango, ripe, neelam",2,178,0.68,0.55,8.21,1.77,11.36,0.36,10.1,0.07,11.63,137.0,1.2,29.93,68.7
E041,"Mango, ripe, paheri",2,188,0.68,0.58,8.67,1.97,15.11,0.51,14.28,0.2,15.18,153.0,1.63,30.75,65.28
E042,"Mango, ripe, totapari",1,248,0.41,0.49,12.75,1.73,13.34,0.28,12.55,0.08,9.87,160.0,1.32,25.26,77.69
E043,Mangosteen,1,219,0.63,0.24,11.41,1.87,4.69,0.28,12.0,0.21,7.18,46.93,3.79,26.33,13.52
E044,Manila tamarind,1,342,3.56,1.14,13.54,4.4,8.51,0.71,32.98,0.56,73.53,376.0,1.35,55.78,4.24
E045,"Musk melon, orange flesh",5,97,0.42,0.35,4.24,1.51,9.8,0.18,11.62,0.09,17.28,206.0,14.94,22.76,22.31
E046,"Musk melon, yellow flesh",6,116,0.53,0.26,5.4,1.49,9.02,0.21,9.81,0.09,13.09,196.0,15.78,21.32,20.23
E047,"Orange, pulp",6,156,0.7,0.13,7.92,1.29,19.52,0.81,11.05,0.04,12.9,164.0,1.47,42.72,19.46
E048,"Palm fruit, tender",1,101,0.5,0.12,4.92,2.4,0.0,0.0,0.0,0.05,0.0,158.0,1.25,0.25,24.4
E049,"Papaya, ripe",6,100,0.42,0.16,4.61,2.83,15.02,0.23,10.97,0.08,17.73,173.0,6.68,43.09,60.9
E050,Peach,1,168,0.86,0.37,7.82,2.13,6.98,0.35,8.06,0.1,19.08,281.0,1.15,5.49,6.34
E051,Pear,6,157,0.36,0.27,8.09,4.48,6.55,0.28,7.61,0.07,6.74,106.0,1.64,3.31,5.28
E052,Phalsa,2,299,1.66,0.14,15.09,4.54,153.0,2.01,76.92,0.48,23.65,362.0,1.99,5.11,22.56
E053,Pineapple,6,180,0.52,0.16,9.42,3.46,10.88,0.28,12.68,0.1,13.56,143.0,1.43,36.37,18.21
E054,Plum,3,238,0.64,0.4,12.1,2.07,7.61,0.25,7.79,0.1,13.83,162.0,1.55,2.26,14.29
E055,"Pomegranate, maroon seeds",6,229,1.33,0.15,11.58,2.83,10.65,0.31,11.07,0.18,27.2,206.0,2.13,12.69,38.64
E056,Pummelo,3,210,0.68,0.42,10.64,0.8,14.03,0.06,6.83,0.06,13.99,189.0,1.06,48.89,13.44
E057,"Raisins, dried, black",6,1279,2.57,0.34,71.29,3.92,73.24,6.81,33.76,0.22,77.62,1105.0,10.99,2.05,38.3
E058,"Raisins, dried, golden",6,1241,2.76,0.35,68.79,4.56,51.83,4.26,28.32,0.25,93.3,913.0,10.16,1.85,34.68
E059,Rambutan,1,306,0.68,0.16,16.84,1.02,8.67,0.37,21.38,0.53,6.98,131.0,1.75,65.0,7.35
E060,Sapota,6,307,0.92,1.26,13.9,9.6,17.87,0.49,16.19,0.18,22.26,280.0,4.61,20.96,10.83
E061,Soursop,1,260,0.74,0.94,11.94,4.95,10.05,0.29,17.7,0.12,25.83,264.0,6.78,59.54,6.09
E062,Star fruit,1,110,0.79,0.39,4.51,2.81,4.97,0.45,11.53,0.24,11.67,159.0,1.56,33.55,8.43
